Xref	Yref	Xinit	Yinit
744916.14296656579244882	6491282.49744105618447065	744811.379657250829041	6491125.55381020437926054
745841.00899752217810601	6491139.71513380296528339	745743.97651628323365003	6491006.86492274515330791
745696.79370292078237981	6488705.80114199314266443	745633.4915002043126151	6488567.96654944866895676
746015.06668139132671058	6488151.20763892028480768	746015.95422582782339305	6487974.86605060193687677
749352.73815196880605072	6488836.29282145760953426	749301.40913380193524063	6488700.56118270475417376
745958.73054215079173446	6484206.27061400096863508	746029.74022950464859605	6484101.5061454651877284
745362.00522668997291476	6481628.62414328940212727	745451.38162448105867952	6481535.4564738143235445
746645.34236110257916152	6481050.08290460146963596	746754.86694691854063421	6480953.03945877682417631
747031.66501042188610882	6478709.41371487639844418	747103.47651737125124782	6478571.1143195666372776
747619.07561419042758644	6478362.11935875285416842	747701.67357453762087971	6478258.55203618388622999
745568.065395611920394	6475989.61901471205055714	745643.79400053468998522	6475891.67741204332560301
746177.56961631122976542	6473287.49657237995415926	746279.09975221462082118	6473221.71298954356461763
749570.65587746747769415	6475912.3513185977935791	749666.74542849394492805	6475777.40687227994203568
749966.29338121530599892	6474459.95694749616086483	750108.33177389239426702	6474327.51772066112607718
750574.81471590790897608	6477344.03827920742332935	750644.90943172248080373	6477199.90198198240250349
748065.75490920315496624	6482475.33934251591563225	748107.6282062940299511	6482357.13882327824831009
749596.97983943624421954	6483667.43001790437847376	749643.01214196684304625	6483579.96290294080972672
748899.59883696399629116	6486966.97290202509611845	748891.78508472547400743	6486825.57936023082584143
750873.07627068087458611	6489680.59247338026762009	750763.62225843931082636	6489418.76573765184730291
751643.97781826858408749	6490826.92636531963944435	751534.72659016191028059	6490700.74001632165163755
751393.58831770182587206	6486356.0336396424099803	751407.77189821167849004	6486304.86429419554769993
750976.85401186358649284	6483283.13734611123800278	751034.74297479609958827	6483174.76317265722900629
750727.0515127902617678	6480573.68433325551450253	750799.6006663991138339	6480487.06032604072242975
750837.85308484314009547	6478471.90290580876171589	750917.99589643348008394	6478416.62168837990611792
753675.50419948424678296	6473112.19606009032577276	753710.30651535373181105	6473037.68069641012698412
752387.49794045626185834	6476508.40119705069810152	752488.48513384663965553	6476440.58209142461419106
753437.96196905698161572	6478427.87745118979364634	753536.29726944689173251	6478335.67066029738634825
752594.43356543825939298	6482560.64967172872275114	752669.74467705620918423	6482480.78659707773476839
753549.80019230837933719	6482015.48014716431498528	753586.15557980677112937	6482038.27780093532055616
753507.94629270897712559	6480614.16036493331193924	753610.37112530635204166	6480550.11743265297263861
754627.99325054767541587	6480097.66095519252121449	754769.03775734326336533	6480062.12605724949389696
755586.21939287590794265	6475757.23454182222485542	755668.08531543717253953	6475704.32290615513920784
756653.82243803748860955	6480992.66623314563184977	756724.94608190923463553	6480871.99899126589298248
756625.50589549553114921	6478998.04848627187311649	756716.42546044231858104	6478940.68554457556456327
756625.32711184746585786	6481922.82094388734549284	756730.5300720181548968	6481879.15539225470274687
756751.60031250456813723	6486829.6069359015673399	756712.04762603831477463	6486777.95809496752917767
756762.04985546309035271	6488081.11138035356998444	756724.53711314604151994	6488039.38541465997695923
756758.28745654691010714	6487655.62860153894871473	756723.1933914318215102	6487607.94848075974732637
756803.62187292717862874	6491497.28581239935010672	756709.11352509027346969	6491447.29726929869502783
756798.6101174927316606	6492185.94406993221491575	756682.93826491327490658	6492114.31322154588997364
